Word,Pron,Definition,Example,Translation_PL,Example_PL
put back,ˌpʊt ˈbæk,to put (people or things) in the place or situation they were in before,She put the saucepan back on the stove.,odłożyć z powrotem,Postawiła rondel z powrotem na kuchence.
give out,ˌɡɪv ˈaʊt,to give (something) to each person in a group,Students were giving out leaflets to everyone on the street.,rozdawać,Studenci rozdawali ulotki wszystkim na ulicy.
deal with,ˈdiːl wɪð,to do business with (someone) or have a business connection with (someone),Most travel agents do not deal directly with these companies.,zająć,Większość biur podróży nie współpracuje bezpośrednio z tymi firmami.
hand in,ˌhænd ˈɪn,to give (something) to someone in authority,Did you hand your homework in on time?,oddać,Czy oddałeś pracę domową na czas?
look after,lʊk ˈɑːftə,"to take care of (someone) by helping them, giving them what they need or keeping them safe","Don’t worry, I’ll look after the kids tomorrow.",Opiekować się,"Nie martw się, jutro zajmę się dziećmi."
look forward to,lʊk ˈfɔːwəd tə,to be excited and pleased about (something that is going to happen),My mother says she’s looking forward to meeting you.,Nie mogę się doczekać,"Moja mama mówi, że nie może się doczekać spotkania z tobą."
take after,ˈteɪk ˌɑːftə,to look or behave like (an older relative),Jenni really takes after her mother.,Weź po,Jenni naprawdę wzoruje się na swojej matce.
take up,ˌteɪk ˈʌp,to become interested in (a new activity) and to spend time doing it,"Rosie's taken up photography, so she needs a new camera.",Podjąć,"Rosie zajęła się fotografią, więc potrzebuje nowego aparatu."
get over,ɡet ˈəʊvə,to become well again after (an illness),It’s taken me ages to get over the flu.,Przestań się bawić,"Zajęło mi wieki, aby przezwyciężyć grypę."
get in,ɡet ˈɪn,to enter a place or a vehicle,We managed to get in through a window.,Wejdź do środka,Udało nam się dostać do środka przez okno.
put off,pʊt ˈɒf,"to delay doing (something) or to arrange to do (something) at a later time or date, especially because there is a problem or you do not want to do it now",I put off going to the doctor but I wish I hadn’t.,odłożyć,"Zwlekałam z pójściem do lekarza, ale chciałabym tego nie robić."
amazingly,əˈmeɪzɪŋli,very surprisingly,"Amazingly, you still see people using mobile phones while driving.",zdumiewająco,"O dziwo, nadal można zobaczyć ludzi korzystających z telefonów komórkowych podczas jazdy."
fortunately,ˈfɔːtʃnətli,happening because of good luck,"Fortunately, everything worked out all right in the end.",na szczęście,Na szczęście w końcu wszystko się udało.
unfortunately,ʌnˈfɔːtʃnətli,used when you are mentioning a fact that you wish was not true,"Unfortunately, you were out when we called.",niestety,"Niestety, nie było cię w domu, kiedy zadzwoniliśmy."
happily,ˈhæpəli,in a happy way / fortunately,"Michelle smiled happily. / Happily, his injuries were not serious.",Szczęśliwie,Michelle uśmiechnęła się radośnie. / Na szczęście jego obrażenia nie były poważne.
sadly,ˈsædli,in a way that shows that you are sad / unfortunately,"Peter shook his head sadly. / Sadly, the business failed.",smutno,"Peter potrząsnął smutno głową. / Niestety, biznes się nie powiódł."
hopefully,ˈhəʊpfli,a way of saying what you hope will happen,By then the problem will hopefully have been solved.,Miejmy nadzieję,"Miejmy nadzieję, że do tego czasu problem zostanie rozwiązany."
luckily,ˈlʌkəli,"used to say that it is good that something happened or was done because if it had not, the situation would be unpleasant or difficult","Luckily, the museum was not damaged by the earthquake.",szczęśliwie,Na szczęście muzeum nie zostało uszkodzone przez trzęsienie ziemi.
unluckily,ʌnˈlʌkəli,used to say that it is bad that something happened or was done because it resulted in an unpleasant or difficult situation ,"Unluckily, the car broke down on the way to his interview.",niestety,"Pech chciał, że w drodze na rozmowę kwalifikacyjną samochód się zepsuł."
obviously,ˈɒbviəsli,used to mean that a fact can easily be noticed or understood,"Obviously, this is going to take some time.",oczywiście,Oczywiście zajmie to trochę czasu.
strangely,ˈstreɪndʒli,in an unusual or surprising way,"Strangely enough, I wasn’t that disappointed.",dziwnie,"O dziwo, nie byłem aż tak rozczarowany."
surprisingly,səˈpraɪzɪŋli,unusually or unexpectedly,"Surprisingly, there has been very little research into the disease.",Zaskakująco,"Co zaskakujące, przeprowadzono bardzo niewiele badań nad tą chorobą."
not surprisingly,ˌnɒt səˈpraɪzɪŋli,used to mean that something is not surprising or could have been expected,"Not surprisingly, with youth unemployment so high, some school-leavers with qualifications fail to find jobs.",Nic dziwnego,"Nic dziwnego, że przy tak wysokim bezrobociu wśród młodzieży niektórzy absolwenci szkół z kwalifikacjami nie mogą znaleźć pracy."
thankfully,ˈθæŋkfli,"used to say that you are glad that something has happened, especially because a difficult situation has ended or been avoided","Thankfully, I managed to pay off all my debts before we got married.",Wdziêcznie,Na szczęście udało mi się spłacić wszystkie długi przed ślubem.
tragically,ˈtrædʒɪkli,"in a way that makes you feel sad, especially because someone has died","Tragically, her dancing career ended only six months later.",tragicznie,"Niestety, jej kariera taneczna zakończyła się zaledwie pół roku później."
bay,beɪ,a part of the sea that is partly enclosed by a curve in the land,We spent a week in a house with a view across the bay.,zatoka,Spędziliśmy tydzień w domu z widokiem na zatokę.
cave,keɪv,"a large natural hole in the side of a cliff or hill, or under the ground",The boys went into a cave until the storm was over.,jaskinia,"Chłopcy weszli do jaskini, dopóki burza się nie skończyła."
cliff,klɪf,"a large area of rock or a mountain with a very steep side, often at the edge of the sea or a river",Keep away from the cliff edge.,klif,Trzymaj się z dala od krawędzi klifu.
coast,kəʊst,the area where the land meets the sea,We drove along the Pacific coast to Seattle.,wybrzeże,Jechaliśmy wzdłuż wybrzeża Pacyfiku do Seattle.
desert,ˈdeʒət,"a large area of land where it is always very dry, there are few plants, and there is a lot of sand or rocks ",A hot dry wind blows from the desert areas of North Africa.,pustynia,"Gorący, suchy wiatr wieje z pustynnych obszarów Afryki Północnej."
forest,ˈfɒrɪst,a large area of land that is covered with trees,Much of Scandinavia is covered in dense forest.,las,Znaczna część Skandynawii pokryta jest gęstym lasem.
hill,hɪl,"an area of land that is higher than the land around it, like a mountain but smaller ",The view from the top of the hill was beautiful.,pagórek,Widok ze szczytu wzgórza był przepiękny.
island,ˈaɪlənd,a piece of land completely surrounded by water,We stayed on the Greek island of Crete.,wyspa,Zatrzymaliśmy się na greckiej wyspie Krecie.
lake,leɪk,a large area of water surrounded by land,Are there any fish in the lake?,jezioro,Czy w jeziorze są jakieś ryby?
mountain,ˈmaʊntɪn,a very high hill,She was the first British woman to climb the mountain.,góra,"Była pierwszą Brytyjką, która weszła na górę."
peak,piːk,the sharply pointed top of a mountain,All around are the spectacular mountain peaks of the Jungfrau region.,szczyt,Dookoła rozciągają się spektakularne szczyty górskie regionu Jungfrau.
rainforest,ˈreɪnfɒrɪst,"a tropical forest with tall trees that are very close together, growing in an area where it rains a lot",My uncle studies insects in the Amazon rainforest.,las deszczowy,Mój wujek bada owady w amazońskich lasach deszczowych.
river,ˈrɪvə,a natural and continuous flow of water in a long line across a country into the sea,The story is set on the Mississippi River.,rzeka,Akcja rozgrywa się nad rzeką Missisipi.
shore,ʃɔː,the land along the edge of a large area of water such as an ocean or lake,Split lies on the shore of the Adriatic.,brzeg,Split leży nad brzegiem Adriatyku.
valley,ˈvæli,"an area of lower land between two lines of hills or mountains, usually with a river flowing through it",There are extensive views across the San Fernando Valley.,dolina,Z okien roztacza się rozległy widok na dolinę San Fernando.
waterfall,ˈwɔːtəfɔːl,a place where water from a river or stream falls down over a cliff or rock,We swam in a pool at the bottom of the waterfall.,wodospad,Pływaliśmy w basenie na dnie wodospadu.
save up for,ˌseɪv ˈʌp fə,"to keep money in a bank so that you can use it later to buy something, especially when you gradually add more money over a period of time",I’m saving up for a new car.,Zaoszczędź na,Oszczędzam na nowy samochód.
pay in cash,ˌpeɪ ɪn ˈkæʃ,"to buy somethinɡ usinɡ money in the form of coins or notes rather than cheques, credit cards, etc.",The shop charges less if the customer pays in cash.,Zapłać gotówką,"Sklep pobiera niższą opłatę, jeśli klient płaci gotówką."
pay by credit card,ˌpeɪ baɪ ˈkredɪt kɑːd,to buy somethinɡ usinɡ a small plastic card that you use to buy goods or services and pay for them later,It's safer to pay by credit card when you shop online.,Zapłać kartą kredytową,Bezpieczniej jest płacić kartą kredytową podczas zakupów online.
keep the receipt,ˌkiːp ðə rɪˈsiːt,to keep the piece of paper that you are given which shows that you have paid for something,Keep your receipt in case you want to bring it back.,Zachowaj paragon,"Zachowaj paragon na wypadek, gdybyś chciał go zwrócić."
exchange ,ɪksˈtʃeɪndʒ,to replace (one thing) with another ,He exchanged the black jacket for a blue one.,wymieniać ,Zamienił czarną kurtkę na niebieską.
look for bargains,ˌlʊk fə ˈbɑːɡɪnz,to try to find something you can buy cheaply or for less than its usual price,She began looking for bargains at car boot sales.,Szukaj okazji,Zaczęła szukać okazji na wyprzedażach bagażników samochodowych.
look for special offers,ˌlʊk fə ˌspeʃl ˈɒfəz,to try to buy something which has been reduced in price for a short time,It's worth looking for special offers on garden furniture in September.,Szukaj ofert specjalnych,Warto rozglądać się za promocjami na meble ogrodowe we wrześniu.
a good deal,ə ˌɡʊd ˈdiːl,when you buy something at a good price,He managed to get a good deal on a car for his son.,Dobra okazja,Udało mu się załatwić dobrą ofertę na samochód dla swojego syna.
the sales,ðə ˈseɪlz,when all the shops have a sale,I picked up some real bargains in the January sales this year.,Sprzedaż,Złapałem kilka prawdziwych okazji na styczniowych wyprzedażach w tym roku.
go on sale,ˌɡəʊ ɒn ˈseɪl,to begin to be sold,Stephen King’s new novel will go on sale next week.,Przejdź do sprzedaży,Nowa powieść Stephena Kinga trafi do sprzedaży w przyszłym tygodniu.
goods,ɡʊdz,things that are produced in order to be sold,Today's shoppers are spending more money on mobile phones and electrical goods than on clothing.,towar,Dzisiejsi kupujący wydają więcej pieniędzy na telefony komórkowe i artykuły elektryczne niż na odzież.
deliver,dɪˈlɪvə,"to take (goods, letters, packages, etc.) to a particular place or person",I’m having some flowers delivered for her birthday.,dostarczyć,Dostarczam jej kwiaty na urodziny.
get a refund,ɡet ə ˈriːfʌnd,to receive back an amount of money if you are not satisfied with the goods or services that you have paid for,"If you return an item within 28 days, you will get a refund.",Otrzymaj zwrot pieniędzy,"Jeśli zwrócisz przedmiot w ciągu 28 dni, otrzymasz zwrot pieniędzy."
cancel an order,ˌkænsl ən ˈɔːdə,to end an agreement that you have with someone to buy something or have something delivered,"If you can't deliver the furniture on the agreed date, I'll have to cancel the order.",Anulowanie zamówienia,"Jeśli nie będziesz w stanie dostarczyć mebli w umówionym terminie, będę musiał anulować zamówienie."
wonderful,ˈwʌndəfl,making you feel very happy,We had a wonderful time in Spain.,wspaniały,Spędziliśmy wspaniały czas w Hiszpanii.
terrible,ˈterəbl,very bad,The journey was terrible – it took six hours.,straszny,Podróż była straszna – trwała sześć godzin.
tiny ,ˈtaɪni,very small,Dairy foods provide your body with a tiny amount of vitamin D.,malutki ,Produkty mleczne dostarczają organizmowi niewielką ilość witaminy D.
disgusting,dɪsˈɡʌstɪŋ,extremely unpleasant and making you feel sick,Rubbish was piled everywhere – it was disgusting.,obrzydliwy,Wszędzie walały się śmieci – to było obrzydliwe.
excellent,ˈekslənt,extremely good or of very high quality,His English was excellent.,Doskonałe,Jego angielski był doskonały.
huge,hjuːdʒ,"extremely large in size, amount or degree ",She was chased by a huge dog.,ogromny,Była goniona przez ogromnego psa.
furious,ˈfjʊəriəs,very angry,Her family are furious that her name has been published by the press.,wściekły,"Jej rodzina jest wściekła, że jej nazwisko zostało opublikowane przez prasę."
thrilled,θrɪld,"very excited, happy and pleased",We were so thrilled to hear about the baby.,Zachwycony,"Byliśmy bardzo podekscytowani, gdy usłyszeliśmy o dziecku."
terrified,ˈterɪfaɪd,very frightened,We were terrified that the bridge would collapse.,Przerażony,"Baliśmy się, że most się zawali."
gorgeous,ˈɡɔːdʒəs,extremely pleasant or enjoyable,The hotel room had a gorgeous view.,wspaniały,Z pokoju hotelowego roztaczał się przepiękny widok.
exhausted,ɪɡˈzɔːstɪd,extremely tired,When I got to the end of my exams I was mentally exhausted.,wyczerpany,"Kiedy doszedłem do końca egzaminów, byłem psychicznie wyczerpany."
freezing,ˈfriːzɪŋ,extremely cold,It’s freezing in this house. Can’t I turn on the heating?,mrożenie,W tym domu jest mróz. Nie mogę włączyć ogrzewania?
boiling,ˈbɔɪlɪŋ,extremely hot,Can I open a window? It’s boiling in here.,wrzenie,Czy mogę otworzyć okno? Tu się gotuje.
shocked,ʃɒkt,feeling surprised and upset by something very unexpected and unpleasant,We were too shocked to talk.,zaszokowany,"Byliśmy zbyt wstrząśnięci, żeby rozmawiać."
enormous,ɪˈnɔːməs,very big in size or in amount,The team made an enormous effort.,ogromny,Zespół włożył ogromny wysiłek.
ancient,ˈeɪnʃnt,having existed for a very long time ,We explored the ancient walled city.,starożytny,Zwiedziliśmy starożytne miasto otoczone murami.
awful,ˈɔːfl,very bad or unpleasant,The weather was awful.,straszny,Pogoda była okropna.
fascinating,ˈfæsəneɪtɪŋ,extremely interesting,We watched a fascinating documentary about dolphins.,fascynujący,Obejrzeliśmy fascynujący film dokumentalny o delfinach.
delighted,dɪˈlaɪtɪd,very pleased and happy,She was delighted with her new home.,zachwycony,Była zachwycona swoim nowym domem.
abstract,ˈæbstrækt,"abstract paintings, designs, etc. consist of shapes and patterns that do not look like real people or things",Kandinsky's paintings became more abstract as the years passed.,abstrakt,Z biegiem lat obrazy Kandinsky'ego stawały się coraz bardziej abstrakcyjne.
cheerful,ˈtʃɪəfl,something that is cheerful makes you feel happy because it is so bright or pleasant,The house has a cheerful atmosphere.,radosny,W domu panuje wesoła atmosfera.
colourful,ˈkʌləfl,having bright colours or a lot of different colours,The dancers wore colourful costumes.,barwny,Tancerze ubrani byli w kolorowe stroje.
creative,kriˈeɪtɪv,involving the use of imagination to produce new ideas or things,I teach creative writing at Trinity College.,twórczy,Uczę kreatywnego pisania w Trinity College.
old-fashioned,ˌəʊld ˈfæʃnd,not considered to be modern or fashionable any more,She wears really old-fashioned clothes!,staromodny,Nosi naprawdę staromodne ubrania!
original,"əˈrɪdʒɪnl, -dʒnəl",completely new and different from anything that anyone has thought of before,She came up with some really good and original ideas for the centenary celebrations.,Oryginał,Wpadła na kilka naprawdę dobrych i oryginalnych pomysłów na obchody stulecia.
powerful,ˈpaʊəfl,having a strong effect on someone’s feelings or opinions,The final act is a powerful piece of theatre.,silny,Ostatni akt to mocny spektakl teatralny.
realistic,rɪəˈlɪstɪk,realistic pictures or stories show things as they are in real life,The series aims to give a realistic portrayal of life in Victorian Britain.,realistyczny,Serial ma na celu realistyczne przedstawienie życia w wiktoriańskiej Wielkiej Brytanii.
silly,ˈsɪli,not serious or practical,They served us coffee in these silly little cups.,głupi,Podawali nam kawę w tych głupich filiżankach.
spectacular,spekˈtækjələ,very impressive,Corsica is a mountainous island with spectacular scenery.,spektakularny,Korsyka to górzysta wyspa ze spektakularnymi krajobrazami.
traditional,trəˈdɪʃnəl,"following ideas and methods that have existed for a long time, rather than doing anything new or different",I went to a very traditional school.,tradycyjny,Chodziłam do bardzo tradycyjnej szkoły.
ugly,ˈʌɡli,extremely unattractive and unpleasant to look at,They have built several very ugly blocks of flats near the airport.,brzydki,Zbudowali kilka bardzo brzydkich bloków mieszkalnych w pobliżu lotniska.
unoriginal,"ˌʌnəˈrɪdʒɪnl, -dʒnəl",not new or different from anything that anyone has thought of before,That’s an unoriginal suggestion.,Banalny,To mało oryginalna sugestia.
weird,ˈwɪəd,"very strange and unusual, and difficult to understand or explain",They sell all sorts of weird products.,dziwaczny,Sprzedają różnego rodzaju dziwne produkty.
revise (for a test/an exam),rɪˌvaɪz fər ə ˈtest/ən ɪɡˈzæm,"to study facts again, in order to learn them before a test or an examination",She’s revising for her history exam.,Powtórka (do testu/egzaminu),Przygotowuje się do egzaminu z historii.
do well (in a test/an exam),duː ˌwel ɪn ə ˈtest/ən ɪɡˈzæm,to be successful in a test or an examination,Students are under considerable pressure to do well.,dobrze sobie radzi (na teście/egzaminie),"Uczniowie są pod dużą presją, aby dobrze sobie radzić."
take (a test/an exam),ˌteɪk ə ˈtest/ən ɪɡˈzæm,to do a test or an examination,Applicants are asked to take a written test.,przystąpić (do testu/egzaminu),Kandydaci proszeni są o przystąpienie do testu pisemnego.
pass (a test/an exam),ˌpɑːs ə ˈtest/ən ɪɡˈzæm,to succeed in a test or an examination,He hasn’t passed his driving test yet.,zaliczenie (test/egzamin),Nie zdał jeszcze egzaminu na prawo jazdy.
fail (a test/an exam),ˌfeɪl ə ˈtest/ən ɪɡˈzæm,to not pass a test or an examination,He failed maths but passed all his other subjects.,niezaliczenie (test/egzamin),"Nie zdał matematyki, ale zdał wszystkie inne przedmioty."
boarding school,ˈbɔːdɪŋ ˌskuːl,a school where students live as well as study,"Rugby is a famous English boarding school, where the game of that name was invented.",internat,"Rugby to słynna angielska szkoła z internatem, w której wynaleziono grę o tej nazwie."
secondary school,ˈsekəndri ˌskuːl,a school for children between the ages of 11 and 16 or 18 ,My sister and I attended different secondary schools after the age of 14.,szkoła średnia,Moja siostra i ja chodziłyśmy do różnych szkół średnich po ukończeniu 14 roku życia.
primary school,ˈpraɪmri ˌskuːl,"a school for children between 5 and 11 years old in England, Scotland and Wales",Children start primary school here at the age of 5.,szkoła podstawowa,Dzieci rozpoczynają tu naukę w szkole podstawowej w wieku 5 lat.
get low/high grades,ɡet ˌləʊ/ˌhaɪ ˈɡreɪdz,to get poor/good marks in a test or an examination,Tim worked hard and got good grades.,Otrzymuj niskie/wysokie oceny,Tim ciężko pracował i dostawał dobre oceny.
pay fees,ˌpeɪ ˈfiːz,"to pay an amount of money to do something, e.g. to attend a school or college","We have three children at the school, so we'll be paying fees for many years.",Uiszczać opłaty,"Mamy troje dzieci w szkole, więc będziemy płacić czesne przez wiele lat."
state school,ˈsteɪt ˌskuːl,a British school which receives money from the government and provides free education,Universities encourage students from state schools to apply.,Szkoła państwowa,Uczelnie zachęcają do aplikowania studentów szkół państwowych.
attend (a school),əˌtend ə ˈskuːl,"to go regularly to (a school, church, etc.)",I am the first child in my family to attend college.,uczęszczać (do szkoły),"Jestem pierwszym dzieckiem w mojej rodzinie, które uczęszcza do college'u."
take a subject,ˌteɪk ə ˈsʌbdʒɪkt,to study a particular subject in school or college for an examination,Are you taking French next year?,Weź temat,Czy w przyszłym roku będziesz uczyć się francuskiego?
get qualifications,ɡet ˌkwɒlɪfɪˈkeɪʃnz,to pass an examination or course to show that you have a particular level of skill or knowledge in a subject,I want to get the qualifications so that I can become a doctor.,Zdobądź kwalifikacje,"Chcę zdobyć kwalifikacje, aby móc zostać lekarzem."
say goodbye,ˌseɪ ɡʊdˈbaɪ,"to say the words used when you are leaving someone, or when they are leaving",She left without saying goodbye.,Pożegnać,Odeszła bez pożegnania.
say nothing,ˌseɪ ˈnʌθɪŋ,to remain silent,I wished I had said nothing about Jordi.,Nic nie mów,"Żałowałem, że nie powiedziałem nic o Jordim."
say what you think,ˌseɪ wɒt jʊ ˈθɪŋk,to use words to express your opinion about something,At last I'm free to say what I think about my mother-in-law!,"Powiedz, co myślisz","Nareszcie mogę powiedzieć, co myślę o mojej teściowej!"
say yes,ˌseɪ ˈjes,to agree to something,"Can I go to Sam's party, Dad? Please say yes!",Powiedz tak,"Czy mogę iść na imprezę Sama, tato? Proszę, powiedz tak!"
tell someone a secret,ˌtel sʌmwʌn ə ˈsiːkrɪt,to talk to someone about something that is kept hidden or that is known about by only a few people,Shall I tell you a secret?,Zdradź komuś sekret,Czy mam ci zdradzić sekret?
tell someone something,ˈtel sʌmwʌn ˌsʌmθɪŋ,"if someone tells you something, they communicate information, a story, their feelings, etc. to you",I wish someone had told me the meeting was cancelled.,powiedz komuś coś,"Chciałbym, żeby ktoś mi powiedział, że spotkanie zostało odwołane."
tell a story,ˌtel ə ˈstɔːri,"to speak to people, giving them a description of events, told to entertain them",He then told the story of how he was injured while riding his motorcycle.,Opowiedz historię,"Następnie opowiedział historię o tym, jak został ranny podczas jazdy na motocyklu."
tell the truth,ˌtel ðə ˈtruːθ,"to say the true facts about something, rather than something untrue, imagined or guessed",How do we know you’re telling us the truth?,Mów prawdę,"Skąd wiemy, że mówisz nam prawdę?"
speak about something,ˈspiːk əbaʊt ˌsʌmθɪŋ,"to talk to someone, or a group of people, about something",I haven’t spoken to Steve about all this.,mówić o czymś,Nie rozmawiałem o tym wszystkim ze Steve'em.
speak a language,ˌspiːk ə ˈlæŋɡwɪdʒ,to be able to talk in a particular language,Can you speak a foreign language?,mówić w danym języku,Czy potrafisz mówić w obcym języku?
speak on the phone,ˌspiːk ɒn ðə ˈfəʊn,to use the telephone to have a conversation with someone,I haven't seen my parents for six months but we speak on the phone twice a week.,Mów przez telefon,"Nie widziałem rodziców od pół roku, ale rozmawiamy przez telefon dwa razy w tygodniu."
speak quietly,ˌspiːk ˈkwaɪətli,to talk without making much noise,We spoke quietly because Sophie was still asleep.,Mów cicho,"Rozmawialiśmy cicho, bo Sophie jeszcze spała."
speak with someone,ˈspiːk wɪð ˌsʌmwʌn,to talk to someone,They did not want to speak with reporters.,Porozmawiaj z kimś,Nie chcieli rozmawiać z dziennikarzami.
persuade,pəˈsweɪd,"to make someone decide to do something, especially by giving them reasons why they should do it, or asking them many times to do it",Do you think you can persuade him to lend us the money?,przekonywać,"Czy myślisz, że uda ci się go przekonać, żeby pożyczył nam pieniądze?"
encourage,ɪnˈkʌrɪdʒ,"to give someone more confidence or desire to do something, or to make something easier or more desirable to do",Language students are strongly encouraged to study abroad for one semester.,zachęcać,Studenci języków obcych są gorąco zachęcani do studiowania za granicą przez jeden semestr.
advise,ədˈvaɪz,"to tell someone what you think they should do, especially when you know more than they do about something",I’d advise you not to say anything to the press.,radzić,Radziłbym nie mówić nic prasie.
warn,wɔːn,"to tell someone that something bad or dangerous may happen, so that they can avoid it or prevent it",I warned you not to walk home alone.,ostrzegać,"Ostrzegałem cię, żebyś nie wracał sam do domu."
promise,ˈprɒmɪs,to tell someone that you will definitely do or provide something or that something will happen,‘Promise me you won’t do anything stupid.’ ‘I promise.’,obietnica,"– Obiecaj mi, że nie zrobisz nic głupiego. – Obiecuję."
start,stɑːt,"to do something that you were not doing before, and continue doing it ",What Kerry said started me thinking.,początek,"To, co powiedział Kerry, dało mi do myślenia."
avoid,əˈvɔɪd,"to deliberately not do something, especially something wrong, dangerous or harmful",You should avoid over-spending in the first half of the year.,unikać,Należy unikać nadmiernych wydatków w pierwszej połowie roku.
suggest,səˈdʒest,"to tell someone your ideas about what they should do, where they should go, etc.",Tracey suggested meeting for a drink after work.,sugerować,Tracey zaproponowała spotkanie na drinka po pracy.
refuse,rɪˈfjuːz,to say firmly that you will not do something that someone has asked you to do,I absolutely refuse to take part in anything illegal.,odmówić,Absolutnie odmawiam udziału w czymkolwiek nielegalnym.
consider,kənˈsɪdə,"to think about something carefully, especially before making a choice or decision",I seriously considered resigning.,rozważać,Poważnie rozważałem rezygnację.
recommend,ˌrekəˈmend,"to advise someone to do something, especially because you have special knowledge of a situation or subject",I would strongly recommend buying a good quality bicycle rather than a cheap one.,Rekomenduj,"Zdecydowanie polecam zakup roweru dobrej jakości, a nie taniego."
arrange an interview,əˌreɪndʒ ən ˈɪntəvjuː,"to organise or make plans for a formal meeting at which someone is asked questions in order to find out whether they are suitable for a job, course of study, etc.",Beth arranged interviews for all six candidates with the marketing director.,Umów się na rozmowę kwalifikacyjną,Beth umówiła się na rozmowy kwalifikacyjne z dyrektorem marketingu dla wszystkich sześciu kandydatów.
arrange/set up a meeting,əˌreɪndʒ/ˌset ʌp ə ˈmiːtɪŋ,to organise or make plans for an event at which people meet to discuss and decide things,We’ve arranged a meeting next week to discuss the matter.,Umów się/umów się na spotkanie,"Umówiliśmy się na spotkanie w przyszłym tygodniu, aby omówić tę sprawę."
do research,ˌduː rɪˈsɜːtʃ,"to carry out serious study of a subject, in order to discover new facts or test new ideas",They are doing research into the effects of the drug.,Przeprowadzaj badania,Prowadzą badania nad skutkami działania leku.
employ people,ɪmˈplɔɪ ˌpiːpl,to pay individuals to work for you,"The factory employs over 2,000 people.",zatrudniać ludzi,Fabryka zatrudnia ponad 2 000 osób.
give a presentation,ˌɡɪv ə preznˈteɪʃn,to speak at an event at which you describe or explain a new product or idea,I’m going to ask each of you to give a short presentation.,Przedstaw prezentację,Poproszę każdego z Was o wygłoszenie krótkiej prezentacji.
interview people,ˈɪntəvjuː ˌpiːpl,to ask individuals questions during an interview,We’re interviewing six candidates for the job.,Przeprowadzanie wywiadów z ludźmi,Prowadzimy rozmowy kwalifikacyjne z sześcioma kandydatami na to stanowisko.
manage a project,ˌmænɪdʒ ə ˈprɒdʒekt,"to direct or control a carefully planned piece of work and the people, equipment and money involved in it, to get information about something, build something, improve something, etc.",I've been asked to manage the new shopping centre project.,Zarządzanie projektem,Zostałem poproszony o zarządzanie projektem nowego centrum handlowego.
manage people,ˈmænɪdʒ ˌpiːpl,to direct or control the individuals who work in a particular department or job,Do you have any experience of managing hospital staff?,Zarządzanie ludźmi,Czy ma Pan/Pani doświadczenie w zarządzaniu personelem szpitalnym?
manage a shop,ˌmænɪdʒ ə ˈʃɒp,"to direct or control a building where you can buy things, and the people, equipment and money involved in it",She's managing her uncle's butcher's shop while he is recovering from an illness.,Zarządzanie sklepem,"Zarządza sklepem mięsnym swojego wuja, podczas gdy on wraca do zdrowia po chorobie."
offer someone a job,ˌɒfə sʌmwʌn ə ˈdʒɒb,to ask someone if they would like to be employed by you or your company,"They offered him a very good job, but he turned it down.",Zaproponuj komuś pracę,"Zaproponowali mu bardzo dobrą pracę, ale ją odrzucił."
serve customers,ˌsɜːv ˈkʌstəməz,"to help the customers in a shop, especially by bringing them the things that they want",There was only one girl serving customers.,Obsługuj klientów,Była tylko jedna dziewczyna obsługująca klientów.
write a report,ˌraɪt ə rɪˈpɔːt,"to write a written or spoken description of a situation or event, giving people the information they need",Her social worker has written a report on the case.,Napisz raport,Jej pracownik socjalny napisał raport w tej sprawie.
work in a team,ˌwɜːk ɪn ə ˈtiːm,to work in a group of people who have been chosen to work together to do a particular job,"I work well on my own, but even better in a team.",praca w zespole,"Dobrze pracuje mi się sam, ale jeszcze lepiej w zespole."
